2022-12-15 14:46:12,826 INFO    StreamThr :28752 [internal.py:wandb_internal():88] W&B internal server running at pid: 28752, started at: 2022-12-15 14:46:12.824287
2022-12-15 14:46:12,831 DEBUG   HandlerThread:28752 [handler.py:handle_request():139] handle_request: status
2022-12-15 14:46:12,836 DEBUG   SenderThread:28752 [sender.py:send_request():317] send_request: status
2022-12-15 14:46:12,839 DEBUG   SenderThread:28752 [sender.py:send():303] send: header
2022-12-15 14:46:12,839 INFO    WriterThread:28752 [datastore.py:open_for_write():75] open: /media/breeze/dev/Mf_Cls/wandb/run-20221215_144612-2g3092kf/run-2g3092kf.wandb
2022-12-15 14:46:12,908 DEBUG   SenderThread:28752 [sender.py:send():303] send: run
2022-12-15 14:46:12,911 INFO    SenderThread:28752 [sender.py:_maybe_setup_resume():593] checking resume status for None/U-Net/2g3092kf
2022-12-15 14:46:14,620 DEBUG   HandlerThread:28752 [handler.py:handle_request():139] handle_request: check_version
2022-12-15 14:46:14,630 INFO    SenderThread:28752 [dir_watcher.py:__init__():216] watching files in: /media/breeze/dev/Mf_Cls/wandb/run-20221215_144612-2g3092kf/files
2022-12-15 14:46:14,630 INFO    SenderThread:28752 [sender.py:_start_run_threads():928] run started: 2g3092kf with start time 1671086772.820281
2022-12-15 14:46:14,630 DEBUG   SenderThread:28752 [sender.py:send():303] send: summary
2022-12-15 14:46:14,631 INFO    SenderThread:28752 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-15 14:46:14,632 DEBUG   SenderThread:28752 [sender.py:send_request():317] send_request: check_version
2022-12-15 14:46:14,848 DEBUG   HandlerThread:28752 [handler.py:handle_request():139] handle_request: run_start
2022-12-15 14:46:14,861 DEBUG   HandlerThread:28752 [system_info.py:__init__():31] System info init
2022-12-15 14:46:14,861 DEBUG   HandlerThread:28752 [system_info.py:__init__():46] System info init done
2022-12-15 14:46:14,861 INFO    HandlerThread:28752 [system_monitor.py:start():150] Starting system monitor
2022-12-15 14:46:14,861 INFO    SystemMonitor:28752 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-15 14:46:14,862 INFO    HandlerThread:28752 [system_monitor.py:probe():168] Collecting system info
2022-12-15 14:46:14,862 INFO    SystemMonitor:28752 [interfaces.py:start():168] Started cpu
2022-12-15 14:46:14,863 INFO    SystemMonitor:28752 [interfaces.py:start():168] Started disk
2022-12-15 14:46:14,864 INFO    SystemMonitor:28752 [interfaces.py:start():168] Started gpu
